countries, product, quantity, price
NG,Product-0,689,77.22
GH,Product-1,465,52.39
KE,Product-2,456,88.41
ZA,Product-3,838,38.87
MA,Product-4,144,22.67
NG,Product-5,441,69.89
GH,Product-6,174,13.94
KE,Product-7,352,93.84
ZA,Product-8,231,90.18
MA,Product-9,348,24.81
NG,Product-10,606,14.11
GH,Product-11,26,79.88
KE,Product-12,506,15.18
ZA,Product-13,900,78.48
MA,Product-14,725,75.10
NG,Product-15,387,98.18
GH,Product-16,517,85.60
KE,Product-17,2,47.45
ZA,Product-18,68,44.93
MA,Product-19,135,74.77
NG,Product-20,789,51.18
GH,Product-21,45,3.18
KE,Product-22,718,7.91
ZA,Product-23,337,18.92
MA,Product-24,342,73.05
NG,Product-25,928,5.87
GH,Product-26,816,96.32
KE,Product-27,813,80.20
ZA,Product-28,315,38.69
MA,Product-29,658,51.97
NG,Product-30,77,46.72
GH,Product-31,333,97.64
KE,Product-32,139,50.40
ZA,Product-33,575,34.62
MA,Product-34,251,39.45
NG,Product-35,319,20.60
GH,Product-36,618,91.29
KE,Product-37,277,93.45
ZA,Product-38,911,26.18
MA,Product-39,474,22.64
NG,Product-40,591,11.77
GH,Product-41,635,79.89
KE,Product-42,791,64.18
ZA,Product-43,778,57.40
MA,Product-44,723,5.68
NG,Product-45,841,52.72
GH,Product-46,495,88.64
KE,Product-47,669,44.18
ZA,Product-48,40,84.95
MA,Product-49,501,40.63
NG,Product-50,679,91.87
GH,Product-51,130,96.74
KE,Product-52,689,49.39
ZA,Product-53,462,97.88
MA,Product-54,202,12.34
NG,Product-55,513,26.73
GH,Product-56,914,53.78
KE,Product-57,321,9.04
ZA,Product-58,405,69.69
MA,Product-59,87,32.62
NG,Product-60,672,40.01
GH,Product-61,108,50.34
KE,Product-62,323,83.09
ZA,Product-63,983,4.66
MA,Product-64,687,4.17
NG,Product-65,827,15.97
GH,Product-66,538,68.86
KE,Product-67,759,83.76
ZA,Product-68,371,8.92
MA,Product-69,419,89.44
NG,Product-70,660,94.15
GH,Product-71,414,2.18
KE,Product-72,905,39.30
ZA,Product-73,212,39.31
MA,Product-74,507,1.80
NG,Product-75,547,38.52
GH,Product-76,335,42.27
KE,Product-77,415,66.92
ZA,Product-78,893,26.75
MA,Product-79,511,72.89
NG,Product-80,268,6.91
GH,Product-81,43,32.75
KE,Product-82,112,39.00
ZA,Product-83,888,50.12
MA,Product-84,246,67.42
NG,Product-85,756,21.12
GH,Product-86,157,84.21
KE,Product-87,712,29.32
ZA,Product-88,4,6.17
MA,Product-89,991,71.08
NG,Product-90,804,69.98
GH,Product-91,151,6.20
KE,Product-92,371,39.83
ZA,Product-93,173,15.73
MA,Product-94,862,38.82
NG,Product-95,110,83.22
GH,Product-96,970,95.65
KE,Product-97,375,43.36
ZA,Product-98,994,58.45
MA,Product-99,429,52.93
NG,Product-100,379,13.41
GH,Product-101,423,77.34
KE,Product-102,976,2.34
ZA,Product-103,966,75.14
MA,Product-104,588,78.67
NG,Product-105,14,89.57
GH,Product-106,54,24.12
KE,Product-107,285,1.71
ZA,Product-108,831,40.49
MA,Product-109,564,17.48
NG,Product-110,207,15.86
GH,Product-111,462,85.88
KE,Product-112,421,81.87
ZA,Product-113,791,12.64
MA,Product-114,896,83.60
NG,Product-115,355,6.86
GH,Product-116,952,32.21
KE,Product-117,357,6.35
ZA,Product-118,804,93.62
MA,Product-119,115,86.92
NG,Product-120,733,63.90
GH,Product-121,745,66.89
KE,Product-122,483,35.78
ZA,Product-123,826,53.55
MA,Product-124,431,64.51
NG,Product-125,60,79.00
GH,Product-126,220,9.06
KE,Product-127,807,58.96
ZA,Product-128,529,52.22
MA,Product-129,463,6.32
NG,Product-130,853,18.30
GH,Product-131,983,17.40
KE,Product-132,129,32.86
ZA,Product-133,945,34.47
MA,Product-134,710,4.45
NG,Product-135,714,48.17
GH,Product-136,508,78.95
KE,Product-137,695,81.64
ZA,Product-138,897,80.73
MA,Product-139,834,80.22
NG,Product-140,686,99.77
GH,Product-141,414,94.12
KE,Product-142,166,86.25
