country,product,quantity,price
NG,product-0,640,36.82
GH,product-1,51,47.79
KE,product-2,253,95.48
ZA,product-3,812,76.66
MA,product-4,105,70.96
NG,product-5,734,63.79
GH,product-6,770,19.29
KE,product-7,487,13.57
ZA,product-8,37,89.17
MA,product-9,329,13.87
NG,product-10,399,99.37
GH,product-11,559,36.55
KE,product-12,263,64.51
ZA,product-13,280,39.96
MA,product-14,820,94.34
NG,product-15,438,94.51
GH,product-16,108,99.02
KE,product-17,550,16.32
ZA,product-18,543,7.11
MA,product-19,8,100.00
NG,product-20,620,29.42
GH,product-21,172,48.59
KE,product-22,776,10.67
ZA,product-23,811,0.79
MA,product-24,236,64.99
NG,product-25,358,54.41
GH,product-26,686,49.41
KE,product-27,124,17.52
ZA,product-28,454,66.72
MA,product-29,797,17.88
NG,product-30,808,90.71
GH,product-31,65,7.00
KE,product-32,424,22.17
ZA,product-33,31,42.58
MA,product-34,946,99.29
NG,product-35,447,5.54
GH,product-36,683,36.82
KE,product-37,22,49.74
ZA,product-38,515,36.49
MA,product-39,641,29.00
NG,product-40,985,8.59
GH,product-41,970,31.19
KE,product-42,433,92.91
ZA,product-43,929,91.31
MA,product-44,637,81.85
NG,product-45,681,33.03
GH,product-46,621,80.70
KE,product-47,132,95.32
ZA,product-48,664,21.90
MA,product-49,684,90.47
NG,product-50,925,45.93
GH,product-51,520,26.38
KE,product-52,410,22.04
ZA,product-53,593,65.45
MA,product-54,995,23.97
NG,product-55,492,26.78
GH,product-56,568,46.24
KE,product-57,695,16.51
ZA,product-58,667,95.31
MA,product-59,222,99.26
NG,product-60,88,66.50
GH,product-61,148,4.72
KE,product-62,247,57.33
ZA,product-63,844,18.64
MA,product-64,965,44.04
NG,product-65,5,78.79
GH,product-66,535,93.98
KE,product-67,774,13.30
ZA,product-68,472,88.25
MA,product-69,496,12.07
NG,product-70,834,49.30
GH,product-71,151,65.53
KE,product-72,632,71.64
ZA,product-73,249,19.30
MA,product-74,943,36.79
NG,product-75,360,71.39
GH,product-76,903,17.76
KE,product-77,365,29.01
ZA,product-78,436,79.67
MA,product-79,957,81.75
NG,product-80,362,37.51
GH,product-81,236,55.04
KE,product-82,109,28.70
ZA,product-83,10,69.60
MA,product-84,394,63.80
NG,product-85,378,23.67
GH,product-86,554,96.14
KE,product-87,740,97.04
ZA,product-88,650,81.15
MA,product-89,318,47.64
NG,product-90,605,48.02
GH,product-91,546,77.08
KE,product-92,301,65.45
ZA,product-93,615,71.05
MA,product-94,358,22.40
NG,product-95,323,9.19
GH,product-96,370,58.12
KE,product-97,834,50.20
ZA,product-98,626,13.15
MA,product-99,273,21.63
NG,product-100,162,26.35
GH,product-101,330,87.96
KE,product-102,829,54.41
ZA,product-103,883,37.29
MA,product-104,874,58.17
NG,product-105,646,43.74
GH,product-106,166,86.63
KE,product-107,415,16.49
ZA,product-108,729,45.27
MA,product-109,680,30.85
NG,product-110,116,2.36
GH,product-111,932,49.83
KE,product-112,245,7.74
ZA,product-113,483,66.27
MA,product-114,591,33.17
NG,product-115,225,80.98
GH,product-116,305,54.08
KE,product-117,603,73.99
ZA,product-118,30,56.58
MA,product-119,28,31.64
NG,product-120,585,71.49
GH,product-121,201,76.64
KE,product-122,609,11.02
ZA,product-123,549,28.79
MA,product-124,395,8.54
NG,product-125,948,82.35
GH,product-126,473,28.21
KE,product-127,184,98.82
ZA,product-128,823,70.55
MA,product-129,777,13.00
NG,product-130,832,20.89
GH,product-131,423,35.10
KE,product-132,766,45.10
ZA,product-133,562,18.44
MA,product-134,977,26.06
NG,product-135,550,15.49
GH,product-136,500,70.13
KE,product-137,581,14.03
ZA,product-138,82,4.44
MA,product-139,582,0.63
NG,product-140,550,64.87
GH,product-141,899,98.32
