country,product,quantity,price
GH,product-1,35,68.60
NG,product-2,641,64.15
KE,product-3,880,93.45
NG,product-4,373,2.02
ZA,product-5,482,49.43
GH,product-6,70,17.68
KE,product-7,710,57.93
NG,product-8,730,21.72
GH,product-9,741,44.03
KE,product-10,136,41.88
NG,product-11,713,38.68
NG,product-12,496,51.07
NG,product-13,408,31.94
GH,product-14,544,76.42
ZA,product-15,118,31.87
NG,product-16,884,95.04
KE,product-17,542,12.12
GH,product-18,374,54.34
NG,product-19,969,48.34
KE,product-20,937,55.68
ZA,product-21,545,12.84
ZA,product-22,536,30.49
KE,product-23,515,81.05
GH,product-24,740,51.73
GH,product-25,405,78.62
MA,product-26,717,31.31
MA,product-27,116,11.76
MA,product-28,167,36.77
KE,product-29,436,1.10
KE,product-30,992,67.05
ZA,product-31,633,64.34
KE,product-32,121,84.73
KE,product-33,292,36.99
ZA,product-34,973,23.24
NG,product-35,163,51.95
MA,product-36,699,23.07
GH,product-37,458,27.11
GH,product-38,414,71.14
NG,product-39,442,40.28
GH,product-40,354,83.20
KE,product-41,92,20.27
KE,product-42,455,15.05
KE,product-43,92,99.27
KE,product-44,876,86.48
NG,product-45,526,93.06
GH,product-46,354,85.44
KE,product-47,922,40.40
MA,product-48,198,85.13
ZA,product-49,438,41.74
GH,product-50,51,40.92
KE,product-51,219,17.76
MA,product-52,13,22.07
GH,product-53,739,15.30
ZA,product-54,974,58.80
MA,product-55,774,14.78
ZA,product-56,798,47.13
KE,product-57,634,2.30
KE,product-58,643,92.37
GH,product-59,880,51.64
NG,product-60,893,91.09
ZA,product-61,205,69.67
MA,product-62,129,6.05
KE,product-63,73,14.50
GH,product-64,234,45.56
KE,product-65,285,35.26
KE,product-66,305,74.19
ZA,product-67,834,59.97
ZA,product-68,4,59.81
GH,product-69,799,6.95
GH,product-70,670,35.57
ZA,product-71,575,83.44
KE,product-72,731,33.77
ZA,product-73,418,29.28
NG,product-74,743,9.30
KE,product-75,440,82.59
GH,product-76,230,1.77
ZA,product-77,154,25.74
NG,product-78,193,9.93
ZA,product-79,981,2.65
NG,product-80,964,20.14
NG,product-81,690,31.59
MA,product-82,329,2.51
KE,product-83,708,13.03
GH,product-84,907,71.40
KE,product-85,30,95.35
MA,product-86,784,72.01
MA,product-87,689,75.75
MA,product-88,473,24.10
GH,product-89,696,13.83
ZA,product-90,808,11.84
GH,product-91,637,21.56
KE,product-92,309,73.37
GH,product-93,283,64.16
ZA,product-94,118,67.19
KE,product-95,947,26.93
KE,product-96,221,79.02
KE,product-97,107,24.92
NG,product-98,980,16.12
KE,product-99,818,31.21
KE,product-100,415,81.91
NG,product-101,550,64.52
NG,product-102,745,98.98
NG,product-103,915,82.25
GH,product-104,107,66.15
NG,product-105,155,5.58
GH,product-106,52,89.55
KE,product-107,695,68.56
ZA,product-108,355,10.68
MA,product-109,386,27.79
GH,product-110,12,41.64
MA,product-111,238,80.15
NG,product-112,910,80.35
ZA,product-113,711,26.25
ZA,product-114,489,47.08
NG,product-115,963,4.69
GH,product-116,887,14.64
GH,product-117,384,19.70
GH,product-118,103,31.90
KE,product-119,344,24.57
ZA,product-120,580,46.01
GH,product-121,7,10.72
KE,product-122,153,37.18
NG,product-123,871,31.14
ZA,product-124,514,81.43
MA,product-125,710,38.01
ZA,product-126,575,34.52
MA,product-127,460,69.49
GH,product-128,202,62.15
KE,product-129,822,93.78
GH,product-130,198,32.56
ZA,product-131,561,59.84
MA,product-132,727,27.16
MA,product-133,18,48.48
KE,product-134,708,59.21
MA,product-135,929,23.54
NG,product-136,920,16.92
KE,product-137,138,72.07
KE,product-138,162,46.50
NG,product-139,755,43.60
KE,product-140,497,20.76
KE,product-141,63,69.97
ZA,product-142,498,2.21
MA,product-143,927,25.60
ZA,product-144,77,29.02
KE,product-145,241,49.36
MA,product-146,623,23.98
NG,product-147,683,3.88
MA,product-148,506,24.43
GH,product-149,533,14.56
ZA,product-150,886,33.34
GH,product-151,789,5.92
